SampleID,Person,DigDate,ProcessingDate,Variety,FieldName,Size,MidSize,TuberWeight,CubeRoot
1,Robert Allen,12/07/2018,13/07/2018,Soraya,Yr 1 variety trial Field,15-20,17.5,2.2,1.300591447
2,Robert Allen,12/07/2018,13/07/2018,Soraya,Yr 1 variety trial Field,15-20,17.5,2.2,1.300591447
1,Robert Allen,12/07/2018,13/07/2018,Soraya,Yr 1 variety trial Field,15-20,17.5,2.6,1.375068867
1,Robert Allen,12/07/2018,13/07/2018,Soraya,Yr 1 variety trial Field,15-20,17.5,2.6,1.375068867
2,Robert Allen,12/07/2018,13/07/2018,Soraya,Yr 1 variety trial Field,15-20,17.5,3,1.44224957
3,Robert Allen,12/07/2018,13/07/2018,Venezia,TurnPike,15-20,17.5,3,1.44224957
2,Robert Allen,12/07/2018,13/07/2018,Soraya,Yr 1 variety trial Field,15-20,17.5,3.1,1.458099736
3,Robert Allen,12/07/2018,13/07/2018,Venezia,TurnPike,15-20,17.5,3.3,1.488805553
3,Robert Allen,12/07/2018,13/07/2018,Venezia,TurnPike,15-20,17.5,3.4,1.503694596
3,Robert Allen,12/07/2018,13/07/2018,Venezia,TurnPike,15-20,17.5,3.4,1.503694596
2,Robert Allen,12/07/2018,13/07/2018,Soraya,Yr 1 variety trial Field,15-20,17.5,3.7,1.546680374
3,Robert Allen,12/07/2018,13/07/2018,Venezia,TurnPike,15-20,17.5,3.9,1.574060917
3,Robert Allen,12/07/2018,13/07/2018,Venezia,TurnPike,15-20,17.5,4.1,1.600520664
3,Robert Allen,12/07/2018,13/07/2018,Venezia,TurnPike,15-20,17.5,4.2,1.613428646
3,Robert Allen,12/07/2018,13/07/2018,Venezia,TurnPike,15-20,17.5,4.2,1.613428646
3,Robert Allen,12/07/2018,13/07/2018,Venezia,TurnPike,15-20,17.5,4.2,1.613428646
3,Robert Allen,12/07/2018,13/07/2018,Venezia,TurnPike,15-20,17.5,4.3,1.626133332
3,Robert Allen,12/07/2018,13/07/2018,Venezia,TurnPike,15-20,17.5,4.3,1.626133332
